recipeId,ingredientDescription
11,wheat bread
12,1 (14 ounce) can beef broth
12,1 (18 ounce) bottle barbeque sauce
12,3 pounds boneless pork ribs
12,arugula
12,brie
12,cooked ham
12,country bread
12,dijon mustard
12,extra-virgin olive oil
12,freshly ground pepper
12,marmalade
13,"1 medium cucumber, peeled and sliced lengthwise"
13,1 ounce chile sauce with garlic
13,"1 small red onion, sliced into rings"
13,1/4 cup fresh lime juice
13,2 tablespoons chopped fresh cilantro
13,"4 (7 inch) french bread baguettes, split lengthwise"
13,"4 boneless pork loin chops, cut 1/4 inch thick"
13,"4 teaspoons mayonnaise, or to taste"
13,blue cheese
13,butter
13,franks
13,lettuce
13,meatballs
13,naan
13,salt and pepper to taste
14,"1 small eggplant, halved and sliced"
14,"1 small tomato, sliced"
14,"1 tablespoon olive oil, or as needed"
14,1/2 cup crumbled feta cheese
14,1/4 cup chopped fresh basil leaves
14,1/4 cup mayonnaise
14,2 (6 inch) french sandwich rolls
14,"2 cloves garlic, minced"
14,arugula
14,cream cheese
14,mustard
14,rye bread
14,salami
15,"1 gala apple, peeled, cored, and thinly sliced"
15,1/2 teaspoon ground cinnamon
15,1/2 teaspoon white sugar
15,1/4 cup unsalted butter
15,8 slices whole wheat bread
15,8 tablespoons creamy peanut butter
15,bacon
15,eggs
15,jam
15,kaiser rolls
15,olive oil
15,pepper jack
15,softened butter
16,1 leaf lettuce
16,"1 ounce pepperoncini, sliced"
16,1 teaspoon olive oil
16,1 teaspoon red wine vinegar
16,"1 tomato, sliced"
16,"1/2 avocado, mashed"
16,2 tablespoons alfalfa sprouts
16,"2 tablespoons cream cheese, softened"
16,2 thick slices whole wheat bread
16,6 slices cucumber
16,basil leaves
16,cloves garlic
16,eggs
16,mozzarella
16,olive oil
16,roma tomatoes
16,salt
16,sourdough
17,1/2 cup thinly sliced onions
17,12 slices dill pickle
17,2 teaspoons poultry seasoning
17,"4 hamburger buns, split"
17,4 leaves of lettuce
17,"4 skinless, boneless chicken breast halves"
17,4 slices pepperjack cheese
17,4 slices tomato
17,8 slices bacon
17,alfalfa sprout
17,avocado
17,black pepper
17,goat cheese
17,radishes
17,salt
17,white sandwich bread
18,1 teaspoon prepared yellow mustard
18,1/2 cup mayonnaise
18,1/4 cup chopped green onion
18,1/4 teaspoon paprika
18,8 eggs
18,avocado
18,bacon
18,green leaf lettuce
18,ham
18,mayonnaise
18,pesto
18,salt and pepper to taste
18,sandwich bread
18,swiss cheese
18,turkey
19,
19,1 1/2 teaspoons salt
19,"1 clove garlic, finely chopped"
19,"1 clove garlic, minced"
19,"1 medium tomato, chopped"
19,1 pound chicken breast tenderloins or strips
19,"1 red bell pepper, quartered"
19,"1 small sweet onion, finely chopped"
19,1 sweet onion cut into 1/2-inch slices
19,1 tablespoon fresh lime juice
19,1 tablespoon olive oil
19,1/2 cup mayonnaise
19,"1/2 jalapeno chile pepper, seeded and minced"
19,1/2 teaspoon minced garlic
19,1/2 teaspoon onion powder
19,1/4 cup finely chopped fresh cilantro
19,"1/4 jalapeno chile pepper, seeded and minced"
19,1/4 teaspoon chipotle chile powder
19,1/4 teaspoon ground black pepper
19,1/4 teaspoon salt
19,1/4 teaspoon sea salt
19,1/8 teaspoon chipotle chile powder
19,16 thick slices french bread
19,"2 mangos - peeled, seeded, and sliced"
19,2 tablespoons finely chopped fresh cilantro
19,2 tablespoons finely grated fresh lime zest
19,2 tablespoons fresh lime juice
19,8 slices monterey jack cheese
19,avocado
19,bacon
19,black pepper
19,salt
19,sun-dried tomatoes
19,unsalted butter
19,wheat bread
20,1 (4 pound) boneless beef roast
20,1 bay leaf
20,1 beef bouillon cube
20,"1 teaspoon dried rosemary, crushed"
20,1 teaspoon dried thyme
20,1 teaspoon garlic powder
20,1/2 cup soy sauce
20,20 slices french bread
20,3 whole black peppercorns
20,alfalfa sprout
20,avocado
20,bread
20,carrots
20,fresh goat cheese
20,radishes
20,red onion
20,red wine vinegar
20,slice cucumb
21,1 tablespoon olive oil
21,1 teaspoon chopped fresh rosemary
21,1 teaspoon minced garlic
21,2 tablespoons mayonnaise
21,2 teaspoons prepared dijon-style mustard
21,"4 skinless, boneless chicken breast halves - pounded to 1/4 inch thickness"
21,8 slices garlic and rosemary focaccia bread
21,bread
21,cayenne pepper
21,celery seed
21,chickpeas
21,chopped celery
21,ground black pepper
21,ground black pepper to taste
21,lettuce leaves
21,mayonnaise
21,mustard
21,rib
21,scallions
21,umeboshi vinegar
21,whole grains
22,1 (1 pound) loaf french or italian-style bread
22,1 cup shredded cheddar cheese
22,1 cup sour cream
22,"1 green bell pepper, sliced in rings"
22,1 pound ground beef
22,1 tablespoon milk
22,1 teaspoon worcestershire sauce
22,1/4 cup chopped green onions
22,1/8 teaspoon garlic powder
22,"2 tablespoons butter, softened"
22,"2 tomatoes, sliced"
22,3/4 teaspoon salt
22,bulb fennel
22,butter
22,cheese
22,freshly grated parmesan
22,kosher salt
22,olive oil
22,whole grain bread
24,"1 (19 ounce) can garbanzo beans, drained and rinsed"
24,"1 stalk celery, chopped"
24,1 tablespoon lemon juice
24,1 tablespoon mayonnaise
24,1 teaspoon dried dill weed
24,"1/2 onion, chopped"
24,bacon
24,buns
24,garlic
24,kale
24,large eggs
24,mayonnaise
24,salt and pepper to taste
24,vegetable oil
24,white wine vinegar
25,2 slices cheddar cheese
25,"3 tablespoons butter, divided"
25,4 slices white bread
25,cheese
25,onion
25,red
25,tri tip
25,white wine
25,worcestershire sauce
26, cups brown sugar
26, cups sugar
26,"1 box cheesecake-flavored pudding mix, 3 ounce box"
26,1 cup milk
26,1 cup shortening
26,"1 pound strawberries, sliced thick"
26,1 teaspoon baking soda
26,1 teaspoon salt
26,1 teaspoon vanilla
26,1- cup whipped topping (like cool whip)
26,2 cups chocolate chips
26,2 whole eggs
26,2- cups flour
26,apples
26,bread
26,extra sharp cheddar cheese
26,mayonnaise
26,mustard
26,red-leaf lettuce
26,turkey
27,1 red bell pepper
27,"1 teaspoon roasted garlic, mashed into a paste"
27,1/2 cup olive oil
27,"16 fresh basil leaves, divided"
27,"4 kaiser rolls, split"
27,"4 ounces buffalo mozzarella, thinly sliced"
27,"4 portobello mushroom caps, cleaned"
27,4 slices onion
27,4 slices tomato
27,4 teaspoons mayonnaise
27,beef broth
27,bread
27,coarseley ground black pepper
27,fresh thyme leaves
27,granulated sugar
27,gruyere cheese
27,olive oil
27,salt and black pepper to taste
27,sea salt
27,unsalted butter
27,yellow onion
28,1 pound deli sliced roast beef
28,"1/2 red onion, thinly sliced"
28,"2 hoagie buns, split"
28,2 tablespoons mayonnaise
28,2 teaspoons prepared coarse-ground mustard
28,"2 tomatoes, thinly sliced"
28,4 slices provolone cheese
28,cheese
28,countri style bread
28,kimchi
28,salt and pepper to taste
28,unsalted butter
29,2 boxes (16 oz. size) ritz crackers
29,"40 ounces, weight creamy peanut butter"
29,"60 ounces, weight chocolate almond bark"
29,all-purpose flour
29,barbecue sauce
29,firm tofu
29,hamburger buns
29,salt
29,vegetable oil
30,1 (14 ounce) jar spaghetti sauce
30,"1 egg, beaten"
30,1 french baguette
30,"1 pinch salt, or to taste"
30,1 pound ground beef
30,1 tablespoon extra-virgin olive oil
30,1/2 teaspoon garlic powder
30,"2 cloves garlic, minced"
30,2 tablespoons chopped fresh parsley
30,2 tablespoons grated parmesan cheese
30,2 teaspoons dried italian seasoning
30,3/4 cup bread crumbs
30,4 slices provolone cheese
30,avocado
30,black pepper
30,bread
30,cilantro leaves
30,clove
30,crema
30,hot sauce
30,juice
30,kosher salt
30,olive oil
30,scallions
30,skirt steak
32,1 cup mayonnaise
32,1 teaspoon dill weed
32,1 teaspoon mustard powder
32,1/2 teaspoon salt
32,1/4 cup dried onion flakes
32,1/4 teaspoon black pepper
32,1/4 teaspoon garlic powder
32,"8 hard-cooked eggs, diced"
32,8 slices white bread
32,avocado
32,english cucumber
32,paprika
32,pepper
32,salt
32,sauce
32,sprouted grain bread
33,1 (.7 ounce) package dry italian-style salad dressing mix
33,1 (1 pound) loaf cocktail rye bread
33,1 (8 ounce) package whipped cream cheese
33,"1 cucumber, thinly sliced"
33,adobo sauce
33,avocado
33,balsamic vinegar
33,brown sugar
33,cherry tomatoes
33,chipotle peppers
33,extra
33,oil
33,olive oil
33,romaine lettuce
33,salt
33,sauce
33,tempeh
34,"1 bagel, sliced in half"
34,1 leaf romaine lettuce
34,1 tablespoon coarse-grain brown mustard
34,1/2 cup alfalfa sprouts
34,2 (1/4 inch thick) rings green bell pepper
34,2 slices red onion
34,2 slices tomato
34,4 slices cucumber
34,bacon
34,bread
34,brown sugar
34,chili powder
34,coffee
34,crushed red pepper flakes
34,crusti
34,fresh lemon juice
34,goat cheese
34,lemon zest
34,medjool date
34,molasses
34,olive oil
34,salt and freshly ground black pepper to taste
34,spinach
34,water
35,2 tablespoons butter
35,4 eggs
35,4 slices smoked ham
35,4 slices texas toast thick-sliced bread
35,8 slices american cheese
35,carrots
35,cucumber
35,hummus
35,salt and pepper to taste
35,tapenade
35,wheat bread
36,1 1/2 teaspoons butter
36,"1 banana, peeled and sliced"
36,2 slices white bread
36,3 slices cooked bacon
36,3 tablespoons peanut butter
36,babi spinach
36,butter
36,eggs
36,gruyere cheese
36,rye bread
36,slices ham
37,1 cup dill pickle slices
37,1 pound sliced swiss cheese
37,1 pound thinly sliced cooked ham
37,1 pound thinly sliced fully cooked pork
37,1/2 cup mayonnaise
37,1/4 cup prepared mustard
37,"2 tablespoons butter, melted"
37,4 sweet bread rolls
37,all-purpose flour
37,jam
37,kosher salt
37,sugar
37,unsalted butter
38,"1 (8 ounce) package tempeh, crumbled"
38,"1 cup barbecue sauce, your choice"
38,"1 green bell pepper, seeded and chopped"
38,"1 medium onion, chopped"
38,"1 red bell pepper, seeded and chopped"
38,1 tablespoon vegetable oil
38,"4 kaiser rolls, split and toasted"
38,alfalfa sprout
38,cream cheese
38,shredded mozzarella cheese
38,slices tomatoes
38,wheat bread
41,"1 (16 ounce) can sauerkraut, drained"
41,"1/4 cup margarine, softened"
41,3/4 cup thousand island dressing
41,8 slices pastrami
41,8 slices rye bread
41,8 slices swiss cheese
41,baby greens
41,flour tortillas
41,goat cheese
41,pepper
41,red bell pepper
41,shredded carrots
42, cups nutella chocolate hazelnut spread
42, cups vanilla ice cream
42,24 whole snyders butter snaps pretzels (or a similar shape. the traditional twists wouldnt work well here.)
42,3 tablespoons finely crushed hazelnuts
42,beaten eggs
42,black pepper
42,green bell pepper
42,loaves
42,mozzarella
42,red bell pepper
42,salt
42,spanish onion
42,vegetable oil
43,1 (5 ounce) package alfalfa sprouts
43,1 cup shredded mozzarella cheese
43,"1 medium tomato, sliced"
43,"1/2 (8 ounce) package cream cheese, room temperature"
43,"4 slices whole wheat bread, toasted"
43,bosc pears
43,butter
43,cayenne
43,cheddar
43,cinnamon
43,egg bread
43,honey
43,kosher salt
43,mustard
43,pecan halv
43,sugar
44,"1 jalapeno pepper, chopped"
44,"1 roma (plum) tomato, thinly sliced"
44,"1/4 small onion, chopped"
44,2 slices american cheese
44,2 tablespoons butter or margarine
44,4 slices white bread
44,chocol wafer cooki
44,peppermint extract
44,semi sweet chocolate chips
44,whipped cream
45,1 1/2 tablespoons worcestershire sauce
45,"1 clove garlic, minced"
45,1 goose breast
45,"1 small yellow onion, sliced"
45,2 cups chicken broth
45,2 tablespoons butter
45,all-purpose flour
45,cocoa powder
45,egg yolks
45,granulated sugar
45,ice cream
45,salt
45,unsalted butter
45,vanilla extract
46,1/2 teaspoon dried parsley
46,1/4 teaspoon black pepper
46,1/4 teaspoon dried oregano
46,2 tablespoons balsamic vinegar
46,2 tablespoons olive oil
46,"3 tablespoons grated parmesan cheese, divided"
46,3 tablespoons mayonnaise
46,"4 ripe tomatoes, sliced"
46,"4 slices bread, lightly toasted"
46,arugula
46,avocado
46,chicken tenderloin
46,cilantro
46,crusty bread
46,curry powder
46,mango chutney
46,sea salt
47,1 1/4 cups milk (70 to 80 degrees f)
47,1 1/4 teaspoons active dry yeast
47,1 cup bread flour
47,"1 egg, beaten"
47,"1 tablespoon butter or margarine, melted"
47,1/4 cup sugar
47,2 3/4 cups bread flour
47,"2 tablespoons butter, softened"
47,3/4 teaspoon salt
47,butter
47,extra sharp cheddar cheese
47,garlic
47,mayonnaise
47,pepper
47,sandwich bread
48,"3 ounces, weight to 4 ounces cream cheese, softened"
48,4 slices colby jack or cheddar cheese
48,4 slices sourdough bread
48,"4 whole green onions, minced"
48,4 whole jalapenos
48,black pepper to taste
48,butter
48,cayenne pepper
48,grated lemon zest
48,hearts of palm
48,mayonnaise
48,minced onion
48,mustard
48,pepper
48,salt
48,sharp cheddar cheese
48,unsalted butter
48,white bread
49,
49,1 (18.25 ounce) box red velvet cake mix
49,"1 (8 ounce) package cream cheese, softened"
49,1 tablespoon bourbon
49,1 teaspoon vanilla
49,1/2 cup chopped pecans
49,1/2 cup flaked coconut
49,1/2 cup vegetable oil
49,"1/4 cup butter, softened"
49,"2 eggs, lightly beaten"
49,2 teaspoons evaporated milk
49,4 cups confectioners sugar
49,all-purpose flour
49,baking soda
49,cinnamon
49,eggs
49,granulated sugar
49,light brown sugar
49,molasses
49,quick oats
49,salt
49,unsalted butter
49,vanilla extract
49,vanilla ice cream
51,1 (1 pound) loaf fresh italian bread
51,1 tablespoon dried basil
51,1 tablespoon dried oregano
51,"1/2 pound provolone cheese, sliced"
51,1/3 cup grated parmesan cheese
51,1/3 cup olive oil
51,"1/4 pound mozzarella cheese, sliced"
51,1/4 pound thinly sliced ham
51,1/4 pound thinly sliced salami
51,"8 oil-cured black olives, pitted and chopped"
51,"8 pitted green olives, chopped"
51,basil
51,fresh mozzarella
51,multi grain bread
51,olive oil
51,roast red pepper
52,1 1/4 cups warm milk
52,1 1/4 teaspoons bread machine yeast
52,1 cup whole wheat flour
52,"1 egg, beaten"
52,1/4 cup honey
52,2 3/4 cups bread flour
52,"2 tablespoons butter, melted"
52,"2 tablespoons butter, softened"
52,3/4 teaspoon salt
52,bacon
52,blue cheese
52,dijon mustard
52,frisee
52,ground black pepper
52,large eggs
52,red wine vinegar
52,rolls
52,salt
52,shallots
52,unsalted butter
53,"1 cup butter, softened"
53,"1 onion, grated"
53,1 tablespoon worcestershire sauce
53,1/2 pound chopped cooked ham
53,2 (12 ounce) packages white party rolls
53,2 tablespoons prepared dijon-style mustard
53,3 tablespoons poppy seeds
53,5 ounces shredded swiss cheese
53,extra-virgin olive oil
53,fresh basil
53,heirloom tomatoes
53,pepper
53,rolls
53,sea salt
53,water
54,1 cup ketchup
54,1 tablespoon vegetable oil
54,1/4 cup cider vinegar
54,"12 round sandwich rolls or hamburger rolls, split"
54,"3 1/2 pounds boneless pork shoulder roast, netted or tied"
54,3 tablespoons packed brown sugar
54,apple butter
54,arugula
54,baguette
54,gruyere
54,honey
54,mustard
55,"1 pinch garlic salt, or to taste"
55,1 teaspoon red pepper flakes
55,"1/2 avocado, thinly sliced"
55,2 slices provolone cheese
55,2 slices white american cheese
55,"2 tablespoons butter, divided"
55,2 tablespoons chopped fresh basil
55,"4 ounces fresh mozzarella cheese, thinly sliced"
55,4 slices whole wheat bread
55,4 thin slices tomato
55,asparagus
55,bread
55,butter
55,"cream cheese, softened"
55,grated parmesan cheese
55,pepper
55,salt
55,tarragon
56,1 (12 ounce) package extra firm tofu
56,1 1/2 cups barbecue sauce
56,"1 onion, thinly sliced"
56,3 tablespoons vegetable oil
56,6 hamburger buns
56,coleslaw
56,corned beef
56,dijon mustard
56,pastrami
56,reduced sodium beef broth
56,rye bread
56,swiss cheese
57,1 (3 ounce) package cream cheese
57,2 tablespoons butter
57,3/4 cup mayonnaise
57,3/4 teaspoon garlic salt
57,8 ounces shredded colby-monterey jack cheese
57,8 slices french bread
57,grated parmesan cheese
57,sharp cheddar cheese
57,texas toast
57,unsalted butter
58,1 (3 pound) corned beef brisket with spice packet
58,1 tablespoon balsamic vinegar
58,1 tablespoon spicy brown mustard
58,"1/2 medium head cabbage, cored and sliced thin"
58,1/2 teaspoon ground black pepper
58,1/2 teaspoon salt
58,"12 slices sourdough bread, lightly toasted"
58,2 tablespoons olive oil
58,biscuits
58,cranberry sauce
58,eggs
58,mashed potatoes
58,spicy brown mustard
58,turkey
59,1 (12 ounce) jar caramel ice cream topping
59,"1 (16 ounce) container frozen whipped topping, thawed"
59,1 1/2 cups salted peanuts
59,22 ice cream sandwiches
59,boston lettuce
59,jam
59,meatloaf
59,tomatoes
59,white bread
60, cups cider vinegar
60, cups ketchup
60, cups mayonnaise
60, cups packed brown sugar
60, cups sugar
60, teaspoons celery seed
60, teaspoons salt
60,1 bag (14 oz. bag) cole slaw mix
60,1 package sandwich rolls/hamburger buns
60,1 tablespoon cider vinegar
60,1 teaspoon onion powder
60,1- teaspoon salt
60,2 tablespoons worcestershire sauce
60,2 tablespoons yellow mustard
60,"3 pounds pork sirloin roast, cut into 3 pieces"
60,3 tablespoons canola oil
60,"6 ounces, weight tomato paste"
60,basil leaves
60,bread
60,butter
60,for the cole slaw:
60,for the pulled pork:
60,honey
60,mascarpone cheese
60,powdered sugar
60,strawberries
60,_____
61,1 (6 pound) bone-in ham
61,1 (8 ounce) jar yellow mustard
61,1 pound brown sugar
61,"24 dinner rolls, split"
61,butter
61,pastrami
61,rye bread
61,sauerkraut
61,swiss cheese
61,thousand island dressing
62,"1 green onion, chopped"
62,1 pound firm tofu
62,"1 stalk celery, chopped"
62,1 tablespoon lemon juice
62,1/2 cup mayonnaise
62,2 tablespoons soy sauce
62,dried oregano
62,garlic powder
62,marinara sauce
62,shredded mozzarella cheese
62,unsalted butter
62,white bread
63,"1 ripe avocado, sliced"
63,1/2 cup mayonnaise
63,1/4 cup blue cheese dressing
63,"2 cooked chicken breasts, sliced"
63,"2 hard boiled eggs, chopped"
63,4 lettuce leaves
63,8 slices cooked bacon
63,8 slices multigrain bread
63,berries
63,chocolate
63,cream cheese
63,italian bread
63,nutella
63,salt
65,"1 loaf italian bread, cut in half lengthwise"
65,1/2 cup mayonnaise
65,"1/4 cup roasted red bell peppers, drained and sliced"
65,1/4 cup sour cream
65,2 tablespoons hot buffalo wing sauce
65,3 cups shredded meat from a rotisserie chicken
65,6 slices bacon
65,8 slices pepperjack cheese
65,asiago cheese
65,butter
65,crushed red pepper
65,fresh basil leaves
65,heirloom tomatoes
65,olive oil
65,prosciutto
65,sourdough bread
66,"1 (8 ounce) package cream cheese, softened"
66,1/2 cup maple syrup
66,"2 1/2 cups fresh strawberries, cleaned, hulled and sliced"
66,2 tablespoons butter
66,2 tablespoons fresh orange juice
66,2 teaspoons finely grated orange zest
66,3/4 cup finely chopped white chocolate
66,3/4 cup pink sparkling wine
66,8 slices cinnamon raisin bread
66,avocado
66,cheese
66,cilantro
66,hoagie rolls
66,honey
66,hummus
66,juice
66,kale
66,onion
66,salt
67,1 (18.25 ounce) package chocolate cake mix
67,1 teaspoon vanilla extract
67,"1/2 cup butter, softened"
67,1/2 cup butterscotch chips
67,1/2 cup semisweet chocolate chips
67,"1/2 gallon vanilla ice cream, softened"
67,2 eggs
67,bacon
67,bread
67,butter
67,guacamole
67,jack cheese
67,tortilla chips
68,"1 tomato, thinly sliced"
68,1/4 cup mayonnaise
68,2 slices white bread
68,3 lettuce leaves
68,3 slices cheddar cheese
68,3 slices turkey bacon
68,alfalfa sprout
68,bartlett pears
68,chopped walnuts
68,light cream chees
68,raisin bread
69,"1 (8 ounce) package cream cheese, softened"
69,"1 pound deli roast beef, thinly sliced"
69,"1/2 cucumber, peeled and grated"
69,"1/2 cucumber, peeled and thinly sliced"
69,10 slices dense white bread
69,3 tablespoons chopped fresh dill
69,baguette
69,black olives
69,dried oregano
69,eggplant
69,fresh basil leaves
69,garlic
69,green bell pepper
69,ground black pepper
69,olive oil
69,onion
69,red wine vinegar
69,salt
69,salt and ground black pepper to taste
69,sandwich
69,sugar
69,tomato paste
69,white mushrooms
70,1 cup butter flavored shortening
70,1 cup packed brown sugar
70,1 cup peanut butter
70,1 cup white sugar
70,1 teaspoon vanilla extract
70,1/2 cup creamy peanut butter
70,1/4 teaspoon salt
70,2 teaspoons baking soda
70,3 cups all-purpose flour
70,3 cups confectioners sugar
70,3 eggs
70,5 tablespoons milk
70,arugula
70,butter
70,monterey jack cheese
70,pickling onions
70,rye bread
70,turkey
71,1 (14 ounce) can beef broth
71,"1 green bell pepper, seeded and cut into strips"
71,1 loaf french bread
71,"1 medium onion, sliced"
71,1 pound thinly sliced sirloin steak strips
71,1/2 cup brown mustard
71,1/2 cup prepared horseradish
71,1/2 teaspoon garlic powder
71,1/2 teaspoon ground black pepper
71,1/2 teaspoon salt
71,1/4 cup pinot noir or other dry red wine
71,1/8 teaspoon red pepper flakes
71,10 slices provolone cheese
71,2 tablespoons olive oil
71,2 tablespoons worcestershire sauce
71,8 ounces sliced fresh mushrooms
71,apple butter
71,black forest ham
71,cheddar cheese
71,chopped fresh chives
71,dijon mustard
71,olive oil
71,rolls
72,1/4 cup softened butter
72,"12 eggs, beaten"
72,12 slices smoked ham
72,"6 croissants, split"
72,6 slices colby-jack cheese
72,cheese
72,dinner rolls
72,dressing
72,horseradish mayo
72,mayonnaise
72,mustard
72,onion
72,poppy seeds
72,roast beef
72,worcestershire
73,"1 (1 pound) loaf italian bread, cut into 1-inch cubes"
73,"1 (8 ounce) package cream cheese, softened"
73,1 cup water
73,1 pound ground beef
73,1 teaspoon italian seasoning
73,1/2 cup mayonnaise
73,1/3 cup chopped green onions
73,1/4 cup italian seasoned bread crumbs
73,1/4 teaspoon freshly ground black pepper
73,"2 cloves garlic, minced"
73,2 cups shredded mozzarella cheese
73,3 cups spaghetti sauce
73,3 tablespoons grated parmesan cheese
73,arugula leaves
73,bread
73,eggs
73,fresh parsley
73,garlic
73,olive oil
73,prosciutto
73,scallion green
73,sea salt
73,white vinegar
74,12 slices sandwich bread
74,2 tablespoons grated parmesan cheese
74,2 tablespoons milk
74,2 teaspoons garlic powder
74,2 teaspoons italian seasoning
74,3 eggs
74,6 slices american cheese
74,cooking spray
74,dijon mustard
74,dill pickles
74,french bread
74,reduc fat swiss chees
74,slices ham
75,1 cup shortening
75,2 (18.25 ounce) packages devils food cake mix
75,4 eggs
75,focaccia
75,fontina
75,garlic
75,juice
75,lemon
75,olive oil
75,pesto
75,salt
75,sun-dried tomatoes
75,tapenade
75,walnuts
75,zucchini
76,2 tablespoons ketchup
76,2 tablespoons mayonnaise
76,2 teaspoons butter
76,4 eggs
76,4 slices processed american cheese
76,8 slices toasted white bread
76,butter
76,chives
76,french bread
76,gruyere cheese
76,meyer lemon
76,salt
76,salt and pepper to taste
76,smoked salmon
77,1 leaf lettuce
77,1 slice provolone cheese
77,1 slice ripe tomato
77,1 tablespoon reduced-fat mayonnaise
77,"1/2 avocado - peeled, pitted, and thinly sliced"
77,"2 slices bread, toasted"
77,"4 slices precooked bacon, microwaved according to package directions"
77,4 thin slices deli turkey breast
77,granny smith apples
77,olive oil
77,swiss cheese
77,wheat bread
78, cups extra chunky peanut butter
78, cups old fashioned oats
78, cups packed brown sugar
78, teaspoons baking soda
78, teaspoons vanilla
78,1 pinch salt
78,1 whole egg
78,"2 tablespoons powdered sugar, or more if you like frosting sweeter"
78,3 tablespoons creamy peanut butter
78,3 tablespoons nutella
78,anchovies
78,bread
78,butter
78,for the cookies:
78,for the frosting:
78,fresh mozzarella
78,fresh oregano
78,garlic cloves
78,kosher salt
78,lemon juice
78,olive oil
78,olives
79,"1 red bell pepper, thinly sliced"
79,1 tablespoon honey mustard
79,"2 sandwich rolls, split"
79,"2 skinless, boneless chicken breast halves"
79,4 slices canned pineapple
79,apple cider vinegar
79,bacon
79,"boneless, skinless chicken thighs"
79,carrots
79,celery ribs
79,freshly ground pepper
79,mayonnaise
79,onion
79,salt
79,scallions
79,whole grain bread
80,"1 small avocado - peeled, pitted and diced"
80,"2 hoagie rolls, split lengthwise"
80,"2 skinless, boneless chicken breast halves"
80,2 tablespoons barbeque sauce
80,2 tablespoons ranch dressing
80,4 slices bacon
80,4 slices swiss cheese
80,italian bread
80,potatoes
80,prepared coleslaw
80,provolone cheese
80,roast beef
80,tomatoes
81,1 1/2 pounds lean ground beef
81,1 tablespoon cracked black pepper
81,1 teaspoon garlic powder
81,1 teaspoon salt
81,1/2 cup marinara sauce
81,"1/2 cup shredded mozzarella cheese, divided"
81,"1/2 small onion, chopped"
81,1/3 cup italian seasoned bread crumbs
81,"3 hoagie rolls, split lengthwise"
81,black pepper
81,buns
81,butter
81,chiles
81,chopped cilantro
81,cream cheese
81,garlic
81,green chile
81,half & half
81,monterey jack
81,muenster
81,rib
81,salt
81,yellow onion
82,"1 bagel, split and toasted"
82,"1 roma (plum) tomatoes, thinly sliced"
82,2 tablespoons cream cheese
