recipename,instructions,cuisine,course_type,dietary_preference
Easy! Kaiser Rolls,"[""Combine the ingredients together in a bowl and mix them."", ""[If you are using a bread machine: put all the dough ingredients into the machine and run it on the dough course."", ""Skip down to step 8.]"", ""Dissolve the yeast in the water, and add it to the bowl."", ""Knead for about 5 minutes until the starts to come together."", ""Add the butter."", ""Knead for another 5 minutes."", ""The butter should be fully incorporated into the dough, and the surface of the dough should be smooth."", ""[First proofing] Gather the dough into a ball, place it in a bowl, and cover it with plastic wrap."", ""Let it rise in a warm place for 40~60 minutes."", ""Check the dough after 40 minutes."", ""It should look like this."", ""[Resting] Divide the dough into 8 pieces and shape them into smooth balls."", ""Let them rest for 10 minutes."", ""While resting, cover them with a slightly damp tea towel, so they don't dry out."", ""Make sure the dough is shaped into a neat ball."", ""use the ball of your hand to slightly flatten the ball into the proper shape for a kaiser roll."", ""Create crown-shaped imprints in the dough using the side of a fork."", ""Press sesame, poppy, or other seeds into the tops of the dough balls, if you want seeded rolls."", ""[Second proofing] arrange the dough on a parchment lined baking sheet, and let the dough rise in a place that is about 38C"", ""When the rolls have risen, spray them lightly damp with water, and bake them in a 200C oven for 15~18 minutes."", ""[Advanced shaping technique] You can also shape the bread using your fingers."", ""This method may not leave clean lines, like you see with the fork above, but I encourage you to challenge yourself and try it.""]",german,side,vegan
Coconut pound cake,"[""Cream butter and sugar together in a large bowl."", ""Add essence."", ""Mix well."", ""Add eggs, one at a time, beating well after each addition."", ""Add flour and salt."", ""Mix well."", ""Fold in the flaked coconut."", ""Mix well."", ""Bake in a greased tube pan at 170 for 1 hour 10 minutes."", ""If you dont have a tube pan, use a loaf pan, and reduce the cooking time by 15 minutes, checking for doneness.""]",american,dessert,omnivorous
Creamed Kale,"[""Blanch the kale in lightly salted water until tender, rinse in ice water, drain and cut into 1/2-inch ribbons."", ""In a large saute pan over medium heat, melt the butter and add the kale, cream and nutmeg."", ""Reduce the heat to low and cook for 5 minutes, or until the cream has reduced and thickened."", ""Season with salt and pepper to taste.""]",american,side,vegetarian
"Hijiki Seaweed, Konnyaku, and Bean Sprout Namul","[""In a pot, combine the bean sprouts with enough water to cover."", ""Add a pinch of salt and heat."", ""Put the konnyaku in a bowl, then prepare a strainer above it."", ""Also prepare the hijiki."", ""Boil the bean sprouts for about a minute."", ""Then pour the hot water from the bean sprouts over the hijiki."", ""Drain the sprouts in the strainer set above the konnyaku."", ""At this point, I remove the bean sprouts roots."", ""It's helps disperse the residual heat and drain the moisture more quickly."", ""Drain the konnyaku and hijiki in the strainer then combine them in a heat-resistant bowl."", ""Add the ingredients and microwave at 700W for 1 minute."", ""Mix in the bean sprouts, add a little pepper and it's finished."", ""I also created this version featuring bean sprouts and mozuku seaweed"", ""You can also mix in imitation crab or chikuwa, which is also delicious.""]",japanese,side,vegan
Mom'S Cream Of Chicken And Potato Soup,"[""Combine the 2 cans of soup in a medium-size pot."", ""Add the can of evaporated milk, the butter, the package of chicken flavoring, the pepper and onion powder."", ""Stir with a spoon until well blended.""]",american,main,omnivorous
Vegetarian Chicken Chili With Crushed Tortilia Chips And Cheese,"[""In large pot place chick peas, kidney beans, tomatoes, ketchup, sugar, Worcestershire sauce, green chili's, water (add more water if needed) and hot sauce. Stir and cook on medium heat. Add olive oil to skillet and add onions, green pepper, carrots and heat over medium flame. Cook 2 minutes then add garlic, cook until vegetables are tender. Be careful not to burn garlic. Add chili powder, cumin,Greek seasoning and paprika to vegetable mixture. Stir and cook about 1-2 minutes being careful not to burn. Add onion mixture to beans, stir bring to boil, lower heat and simmer for 30 minutes. Add chicken and corn, stir and taste (adjust seasonings as needed. Cook 10 more minutes and serve over rice if desired. Garnish with crushed tortilla chips, chopped tomatoes, chopped onions. Use vegan style grated cheese and sour cream if desired.""]",tex-mex,main,vegetarian
Steamed Corned Beef,"[""Heat the oil in a skillet over medium heat. Add onion, green pepper, red pepper flakes and dried thyme; cook and stir until the onion is beginning to brown, about 7 minutes. Reduce the heat to low and stir in the tomato paste and season with salt and pepper. Simmer for 3 minutes then stir in the water. Mix in the corned beef and then let it simmer until most of the liquid has evaporated.""]",irish,main,omnivorous
Peach Cake,"[""Cream margarine."", ""Mix with flour, salt and 2 tablespoons sugar until like meal."", ""Press into baking dish."", ""Put peach halves (fresh or canned) on top of flour mixture and sprinkle with remaining sugar mixed with 1 teaspoon cinnamon."", ""Pour over peaches."", ""Bake 15 minutes at 400\u00b0."", ""Remove from oven and pour 1 cup milk or cream mixed with 2 beaten egg yolks."", ""Bake 30 minutes at 400\u00b0.""]",american,dessert,vegetarian
Chicken & Sweet Corn Soup,"[""Place chicken stock and ginger in a large saucepan. Bring to the boil and reduce to a simmer. Add chicken breasts to saucepan and cook for 6 minutes, or until cooked through. Remove chicken and allow to cool slightly before shredding."", ""Add creamed corn and soy sauce to chicken stock. Heat through and stir in shredded chicken, eggwhites and spring onions. Cook a further minute and serve immediately.""]",chinese,starter,omnivorous
Savoury Mince,"[""Brown Mince and finely chopped onion."", ""Drain Fat from mince."", ""Add half of the water & vegetables."", ""Cook 5 minutes on stove top on medium."", ""Take off heat then."", ""Slowly add the gravy powder and other half water whilst stirring inches."", ""Add the rest of ingredients."", ""Return the heat and simmer for 20 mins"", ""Serve with crusty bread (optional)."", ""Ta da!""]",british,main,omnivorous
Turkey Meatballs,"[""Mix all ingredients together in a medium bowl."", ""Form into meatballs."", ""Place on greased cookie sheet."", ""Bake at 375 for 20 - 25 minutes.""]",italian,main,omnivorous
Peanut Sticks,"[""Trim crusts from bread."", ""Cut into finger strips. Place on baking sheet. Toast strips and trimmings in a 250\u00b0 oven until very dry and light brown."", ""Make crumbs of trimmings."", ""Dilute peanut butter with enough oil in bowl to make thick liquid."", ""Dip sticks into peanut butter mixture to coat."", ""Roll in crumbs."", ""Let stand for 12 to 24 hours or until dried. Will keep indefinitely.""]",american,side,vegetarian
Low Fat Chicken Salad,"[""Mix together chicken, celery, mayonnaise, and onion powder. Serve on bread as sandwich or on greens as a salad.""]",american,main,omnivorous
Cube Steak With Onion Gravy,"[""Salt and pepper steak and dredge in flour."", ""Using a skillet, fry steak in oil only until just light brown on each side."", ""In same skillet add water, ketchup and worcestershire sauce and let simmer on low heat for 15 to 20 minutes."", ""Add onion rings and simmer 10 minutes."", ""Push steak and onions to one side in skillet. Using Pillsbury gravy flour, whisk in vigorously while gravy is bubbling and simmer 5 more minutes. (This flour is the secret to not having lumps in your gravy.).""]",southern american,main,omnivorous
Peanut Butter Pie,"[""Mix"", ""listed"", ""ingredients then fold in 18 ounces whipped topping."", ""Pour into 3 graham cracker pie crust shells."", ""Freeze and serve frozen.""]",american,dessert,vegetarian
Pineapple Dressing,"[""Cream butter and sugar; add egg and then pineapple."", ""Mix well. Fold in bread."", ""Pour into 1 1/2-quart greased casserole dish."", ""Bake at 350\u00b0 for 1 hour.""]",western,dessert,vegetarian
Pear Apple Crisp,"[""In a greased 9-in. square baking dish, combine pie filling and pears; set aside. In a small bowl, combine the brown sugar, flour oats and cinnamon; cut in butter until mixture resembles coarse crumbs. Sprinkle over fruit. Bake at 350\u00b0 for 23-25 minutes or until golden brown. Serve with ice cream if desired.""]",american,dessert,vegetarian
Brownies,"[""In a 3-quart saucepan, melt chocolate and butter or margarine. Remove from heat."", ""(Mix the rest of the ingredients in by hand.) Add sugar and mix well."", ""Add each egg, one at a time, mixing well after each one."", ""Add vanilla."", ""Add flour and mix well."", ""Add pecans."", ""Spray just the bottom of a 13 x 9 x 3-inch pan with Pam. Bake at 350\u00b0 for 25 minutes or until toothpick comes clean.""]",american,dessert,omnivorous
"Moroccan Tagine of Chicken with Prunes, Apricots, and Almonds","[""Heat the oil in a Dutch oven or other large, heavy frying pan with a cover."", ""Add the onions, and saute slowly until golden."", ""While the onions are cooking, season the chicken pieces well with salt and pepper, and sprinkle with cinnamon."", ""Push aside the onions and tuck the chicken pieces into the pan."", ""Brown them well on all sides."", ""Add the prunes, raisins, and apricots to the chicken pieces, along with the saffron, cumin, and paprika, and a cup of water."", ""Simmer, covered, stirring occasionally, for about 40 minutes, or until the chicken is cooked and most of the liquid has evaporated."", ""(Add more water if necessary.)"", ""Just before serving, toast the almonds in the microwave for 3 minutes, and sprinkle them over the chicken."", ""Serve with saffron rice (see page 278).""]",moroccan,main,omnivorous
Coconut Snowballs,"[""Preheat oven to 400\u00b0. Beat butter and sugar at medium speed with an electric mixer until creamy. Add extract; beat 30 seconds. Gradually add flour, beating at low speed until combined after each addition. Stir in shredded coconut. (If dough is soft, divide in half, and chill 30 minutes to 5 days.)"", ""Drop dough by level spoonfuls about 2 inches apart onto 2 parchment paper-lined baking sheets, using a 1-inch cookie scoop."", ""Bake, in batches, at 400\u00b0 for 7 to 9 minutes or until cookies are golden brown on bottom. Cool completely on a wire rack (about 30 minutes). Spread each cooled cookie with about 1/2 tsp. melted chocolate.""]",american,dessert,vegetarian
Easy Artichoke Dip Recipe,"[""Adjust oven rack to middle position and preheat oven to 350\u00b0 F."", ""Combine artichokes, mayonnaise, Parmesan cheese, garlic, Worcestershire sauce and salt in medium bowl. Spoon into 1-quart casserole dish. Bake 30 minutes until hot a bubbly. Sprinkle with parsley and chopped tomatoes. Serve with crackers or toasted bread slices.""]",american,side,vegetarian
Mexican Pie,"[""Pat one can crescent rolls out in bottom of pie plate to make crust."", ""Add drained meat mixture."", ""Cover with very thin sliced and peeled fresh tomatoes."", ""Add chopped green chilies."", ""Add grated cheese to top of this mixture in pie plate.""]",mexican,main,omnivorous
Griddled Courgette Salad With Mozzarella and Mint,"[""Brush the courgettes with olive oil and cook them in batches on a hot griddle or under a grill until just tender (2-3 minutes per side)."", ""Keep the cooked slices warm and covered until they are all done."", ""Combine all of the dressing ingredients in a bowl and season well."", ""Divide the courgette, mozzarella, pickled lemon and mint between 6 plates."", ""Pour over the dressing and serve with crusty bread for mopping up the juice.""]",italian,side,vegetarian
Pumpkin Spice Breakfast Cakes,"[""Preheat oven to 350F."", ""Cream butter and sugar together until light and fluffy. Add egg and mix until well combined. Add in vanilla and pumpkin. Mix dry ingredients together and add to pumpkin batter, only mixing until just combined."", ""Spray 2 (individual serving sized) ramekins with non-stick spray and pour batter into them. Bake for 30-35 minutes or until inserted toothpick comes out clean."", ""For the glaze:"", ""Mix syrup, water and sugar together to form a glaze. Depending on desired consistency, add more or less liquid. Drizzle over cooled cakes.""]",american,main,omnivorous
Last-Minute Spinach Dip,"[""Heat oven to 350\u00b0 F."", ""Brush both sides of each pita with some of the oil and sprinkle with the salt. Cut each pita into 6 triangles and transfer to a baking sheet. Bake until golden, about 10 minutes."", ""Meanwhile, squeeze the spinach to remove any excess water. In a food processor or blender, puree the spinach and hummus. Spoon into a dish and serve with the pita chips.""]",american,starter,vegetarian
Miss Kitty'S Kielbasa & Sauerkraut,"[""Place all ingredients (except potatoes) in a large stockpot and simmer on medium low heat for 1 - 2 hours to combine all flavors."", ""Add potatoes the last 30 minutes of cooking. Cook until potatoes are tender."", ""OR add all ingredients to large crockpot."", ""Cook on low setting 4-6 hours.""]",polish,main,omnivorous
"Veggie ""chicken"" and Broccoli Casserole","[""Bring a large pot of lightly salted water to a boil."", ""Add pasta and cook for 6 to 8 minutes or until al dente; drain."", ""Preheat oven to 400 degrees F (200 degrees C.) Grease a 9x13 inch casserole dish."", ""Melt butter in a large saucepan over medium heat."", ""Saute onion until tender, about 3 minutes."", ""Mix in flour."", ""Gradually stir in broth."", ""Slowly stir in milk, and cook, stirring, until sauce begins to thicken."", ""Season with salt and pepper."", ""Place cooked noodles in the bottom of casserole dish."", ""Arrange chickn in an even layer over noodles."", ""Place broccoli over the chickn."", ""Pour sauce evenly over the broccoli."", ""Sprinkle half the cheese over casserole."", ""Bake in preheated oven for 20 minutes, or until the cheese melts."", ""Remove from oven, and sprinkle with remaining cheese."", ""Allow to set for 5 minutes, until cheese melts.""]",american,main,vegetarian
Creamed Spinach,"[""Pick over the spinach to remove and discard any tough stems or blemished leaves."", ""Rinse well and drain."", ""Bring water to the boil and add the spinach."", ""Let cook 2 minutes and drain, pressing or squeezing to extract as much liquid as possible from the leaves."", ""Heat 1 tablespoon of the butter in a saucepan and add the flour, stirring with a wire whisk."", ""When blended add the milk, stirring vigorously with the whisk."", ""Cook, stirring, until the mixture is thickened and smooth."", ""Add salt, pepper, nutmeg and cayenne pepper."", ""Put the spinach into the container of a food processor and blend thoroughly, stirring down as necessary."", ""There should be about 1 cup."", ""Put the spinach in the sauce and stir to blend."", ""Bring to the simmer and swirl in the remaining tablespoon butter.""]",french,side,vegetarian
Sriracha Potato Salad,"[""Boil potatoes until fork tender."", ""Submerge in ice water to stop the cooking process."", ""Drain."", ""Pat dry."", ""Combine mayonnaise, Sriracha, vinegar, and dry seasonings in a large mixing bowl."", ""Toss potatoes and veggies with dressing and fresh basil."", ""*Optional: Sweat veggies and garlic in olive oil until tender."", ""Variations; Sausage, chicken, lemongrass, shallots, roasted bell peppers""]",american,side,omnivorous
Chocolate Cake V,"[""Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan. In a small bowl, dissolve the cocoa in the hot coffee; set aside. Sift together the flour, baking soda, baking powder and salt. Set aside."", ""In a large bowl, combine the sugar, oil, eggs and vanilla. Beat in the flour mixture alternately with the cocoa mixture. Pour batter into prepared pan."", ""Bake in the preheated oven for 40 to 50 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.""]",american,dessert,vegetarian
Cream Of Potato Soup,"[""In a Dutch oven, boil until almost done potatoes, celery and onion."", ""Drain and return to Dutch oven."", ""Add enough milk to cover vegetables, plus 1/2-inch."", ""Add ham, margarine and spices."", ""Simmer until potatoes are tender and almost ready to flake apart."", ""May be made thicker with cornstarch/water or flour/water if desired.""]",american,main,vegetarian
Old Fashioned Coconut Pie,"[""Preheat oven to 350 degrees."", ""In a large bowl combine the milk, sugar, coconut, eggs, flour, butter and coconut extract."", ""Stir until well incorporated."", ""Pour into the unbaked pie shell."", ""Bake for 45 minutes or until a knife inserted 1 inch from the center comes out clean."", ""Remove and place on a wire rack to cool to room temperature."", ""In a medium bowl combine the apricot preserves and vanilla."", ""Add the cream and beat until stiff."", ""Spread this over the cooled pie and garnish with toasted coconut."", ""Serve.""]",southern,dessert,omnivorous
Michael C's Millionaire's Shortbread,"[""Grease a 23cm square cake tin with butter."", ""Sift the flour into a bowl and rub the butter in with your fingertips until the mix resembles fine breadcrumbs."", ""Add the sugar and mix to form a firm dough."", ""Press the dough into the base of the prepared tin and prick all over with a fork."", ""Bake in a preheated oven at 190C for 20 minutes, until lightly golden."", ""Leave the shortbread to cool in the tin."", ""To make the topping, place the butter, sugar and condensed milk in a non-stick saucepan and cook over a gentle heat, stirring constantly, until the mix comes to a boil."", ""Reduce heat and cook for 4-5 minutes, until the caramel is pale golden and thick and is coming away from the sides of the pan."", ""Pour the caramel over the shortbread base and leave to cool."", ""When the caramel is firm, melt the chocolate and spread over the caramel layer."", ""Leave to cool."", ""Cut into squares or fingers and gently take out.""]",british,dessert,vegetarian
Pumpkin Spiced And Iced Cookies,"[""Heat oven to 375\u00b0F and grease cookie sheets."", ""Combine flour, pumpkin pie spice, baking powder, baking soda, and salt in medium bowl."", ""Beat butter and sugar in large bowl with mixer till creamy. Beat in pumpkin, eggs and vanilla. gradually beat in flour mixture. Stir in morsels and nuts."", ""Drop by rounded tablespoonfuls on sheets. Bake 15-20 minutes till edges are brown. Cool on sheets for 2 minutes; remove to racks cool completely. Spread on glaze."", ""Glaze: Combine 1 cup powdered sugar, 1- 1/2 tbsp milk and 1/2 tsp vanilla in small bowl; mix well.""]",american,dessert,vegetarian
4th Generation Cheese Ball,"[""Mix first 6 ingredients together."", ""Form mixture into a ball."", ""Roll ball around in walnuts until covered."", ""Chill for at least 1 hour."", ""Serve with crackers.""]",american,appetizer,vegetarian
Cheesy Italian Spaghetti,"[""In a large skillet, saute onions, celery, and bell pepper in the margarine."", ""In a large bowl, combine onion-pepper that was just cooked, and the seasonings,spaghetti, chicken, sour cream, and alfredo sauce and mix well."", ""Fold in peas and half of the mozzarella cheese."", ""Spoon into greased 10x14 inch deep casserole dish, and bake covered at 350 degrees for 45 minutes."", ""Remove from oven and sprinkle remaining cheese over the dish."", ""Return to oven for 5 additional minutes.""]",italian,main,omnivorous
Cheese Biscuits,"[""Mix Bisquick mix, milk and cheese until soft dough forms. Beat vigorously for 30 seconds."", ""Drop dough by spoonfuls onto greased cookie sheet."", ""Bake 8 to 10 minutes until brown.""]",american,side,vegetarian
"No Sugar, No Fat, No Cholesterol Pumpkin Pie","[""Preheat oven to 400 degrees."", ""Combine the first four ingredients in a small bowl."", ""Stir pumpkin into skillet & heat slowly."", ""Add the egg whites and cheese, stirring until cheese starts to melt. (If the eggs start to cook, remove from heat for a bit.)."", ""Mix in the Splenda and spice."", ""Mix egg replacer well with the water, add."", ""Stir whole mixture, pour into crust."", ""Bake at 400 degrees for 10 minutes."", ""Reduce temperature to 350, bake 15-20 more minutes or until toothpick inserted comes out clean."", ""The cheese is what \""binds.\"" Blended with the egg whites, the two substitute beautifully for the not-healthy evaporated milk. (Fat free, nice, but as much sugar as a candy bar.) And you needn't bake at such high temps for so long, because you're not waiting for sugar to melt, egg yolks to cook - and you've already heated your ingredients.""]",american,dessert,vegetarian
Pumpkin Pie,"[""Mix"", ""all"", ""ingredients together and pour into pie shell. Bake at 350\u00b0 for 45 to 50 minutes."", ""Makes 2 pies.""]",american,dessert,omnivorous
Chicken And Rice Supreme,"[""Cook rice using package directions."", ""Combine with green beans, chicken, pimentos, water chestnuts, soup, mayonnaise, salt and pepper in bowl; mix well."", ""Spoon into baking dish."", ""Top with cheese."", ""Bake at 300\u00b0 to 350\u00b0 until cheese melts and casserole is heated through."", ""Yield:"", ""15 servings.""]",american,main,omnivorous
Quick Prep-Let It Sit Layered Overnight Salad,"[""In a large glass bowl, layer into bowl lettuce, celery, onions, peas and bell pepper."", ""Seal with mayo."", ""(Spreading a thin layer over the top of everything)."", ""Sprinkle mayo layer with sugar, grated cheese and bacon."", ""Cover and refrigerate overnight."", ""Toss and serve when ready.""]",american,side,omnivorous
Southern Fried Fish,"[""Mix fish, corn meal and seasoning."", ""Heat oil until hot."", ""Cook fish until golden brown."", ""Serve with baked beans, cole slaw, French fries, hush puppies or rolls.""]",southern,main,omnivorous
Apple Bars,"[""Cut margarine into flour and salt until looks like small peas. Add enough milk to beaten egg yolk to measure 2/3 cup."", ""Stir into flour mixture until cleans side of bowl."", ""Divide into 2 parts. Roll one part into 10 x 15-inch rectangle."", ""Fold into thirds and place in jelly roll pan."", ""Unfold."", ""Sprinkle crushed Wheaties over pastry.""]",american,dessert,vegetarian
The Dip That Makes You Dip! ,"[""Place cream cheese in a food processor and blend till creamy. While processor runs add salsa. I start with 1/2 cup. You are looking for a creamy, spreadable consistancy so add the last 1/4 cup if needed. Add the chipotle, blend. Add the cheese, green onion, cilantro, and jalapeno, pulse till just blended. Pour into serving dish top with chopped tomato and avocado, place in refrigerator for at least an hour so it can set up. Serve as a dip with tortilla chips. As an option you can spread the cream cheese mixture on flour tortillas about 1/4\"" thick,top with tomato and avocado, roll them up and wrap in a damp paper towel. Store in sealable plastic bag till serving time. Slice into 1 1/2\"" thick pinwheel slices.""]",american,side,vegetarian
Dilled Turkey Breast,"[""In a saucepan, combine soup, chicken broth, sour cream and dill weed. Cook until heated through, but do not boil. Arrange turkey slices on a platter; pour sauce over and serve immediately. Yield: 6 to 8 servings.""]",american,main,omnivorous
Natalee's Goulash,"[""Saute onion in olive oil until soft."", ""Add ground beef and cook until slightly brown."", ""Add seasonings and simmer 10 minutes."", ""Add soups and water - simmer 45 minutes."", ""Combine with cooked macaroni and serve.""]",hungarian,main,omnivorous
Plum And Thyme Ice Tea,"[""Place tea bags in a 2-quart glass measuring cup. Add 8 cups boiling water then steep for 5 mins, or to desired strength. Remove tea bags and add thyme. Let cool to room temperature. Remove thyme and stir in honey. Add plums and chill until cold, about 2 hours. Serve over ice garnished with additional thyme sprigs.""]",american,beverage,vegan
Meat-Less Tortilla Pie,"[""Preheat oven to 450 degrees F. Spray large cookie sheet with cooking spray."", ""Spray 12-inch nonstick skillet with cooking spray; place over medium heat."", ""Add frozen corn, green onions, and cumin; cook 3 minutes or until corn thaws."", ""Remove skillet from heat; stir in salsa and beans."", ""Place 1 tortilla on cookie sheet; top with 1 cup bean mixture and 1/2 cup cheese."", ""Repeat, starting with tortilla, to make 2 more layers."", ""Top with remaining tortilla and cheese."", ""Bake pie 10 minutes or until heated through."", ""Carefully transfer pie to cutting board; sprinkle with chopped cilantro."", ""With sharp knife, cut into wedges to serve.""]",mexican,main,vegetarian
Penne Pasta With Chipotle,"[""Cook the pasta following the instructions on the package. Drain and mix with the ham, cheese, and vegetables, then set aside."", ""Place all the ingredients for the sauce except the butter, salt, pepper, and bouillon into a blender and puree. Without sifting, pour onto a saucepan and add the butter. Heat until it boils, then season with salt, pepper, and bouillon powder to taste."", ""Serve the pasta and pour the sauce on top. This dish can be served warm or cold.""]",italian,main,omnivorous
Banana Loaf ,"[""Preheat oven to 350 degrees. Butter a 9-by-5-by-3-inch loaf pan; set aside. In an electric mixer fitted with the paddle attachment, cream butter and sugar until light and fluffy. Add eggs, and beat to incorporate."", ""In a medium bowl, whisk together flour, baking soda, and salt. Add to the butter mixture, and mix until just combined. Add bananas, sour cream, and vanilla; mix to combine. Stir in nuts, and pour into prepared pan."", ""Bake until a cake tester inserted into the center of the cake comes out clean, about 1 hour 10 minutes. Let rest in pan for 10 minutes, then turn out onto a rack to cool.""]",american,dessert,omnivorous
Grandma'S Corn Bread,"[""Preheat oven to 425\u00b0."", ""Grease an 8 x 8 x 2-inch pan."", ""Mix the flour, corn meal, sugar, salt and baking soda in a medium bowl. Mix vinegar, milk, beaten egg and melted butter in a small bowl (vinegar and milk will sour)."", ""Mix liquid ingredients into dry ingredients."", ""Bake 20 minutes or until golden brown.""]",american,side,vegetarian
